entity_id,humidity,last_changed
sensor.soverom_sensor_temperature_humidity_2,52.592468006945175,2024-11-16T17:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,59.256544712666674,2024-11-16T18:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,62.292677165638885,2024-11-16T19:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,63.289546998388886,2024-11-16T20:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,63.682600275944445,2024-11-16T21:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,62.32892449422223,2024-11-16T22:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,61.99399398841666,2024-11-16T23:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,62.743480609916666,2024-11-17T00:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,63.24570774413889,2024-11-17T01:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,63.77466024891667,2024-11-17T02:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,64.10431639786111,2024-11-17T03:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,64.74379104366666,2024-11-17T04:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,66.15825648313889,2024-11-17T05:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,67.35758453158333,2024-11-17T06:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,68.01865334297223,2024-11-17T07:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,68.61503492527778,2024-11-17T08:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,71.03234937925001,2024-11-17T09:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,68.91821177169444,2024-11-17T10:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,68.60303781044445,2024-11-17T11:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,68.11820616388889,2024-11-17T12:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,70.96151553836111,2024-11-17T13:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,70.00212980230556,2024-11-17T14:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,67.53844032627778,2024-11-17T15:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,66.06298175580555,2024-11-17T16:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,65.72109003755556,2024-11-17T17:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,65.75290627197222,2024-11-17T18:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,65.99850124416666,2024-11-17T19:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,66.03831057091666,2024-11-17T20:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,66.73166567152778,2024-11-17T21:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,67.22398992369445,2024-11-17T22:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,68.42159050041667,2024-11-17T23:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,69.52714010233333,2024-11-18T00:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,70.05248056949999,2024-11-18T01:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,70.4000516478889,2024-11-18T02:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,70.33959276761111,2024-11-18T03:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,70.43618417408334,2024-11-18T04:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,71.05060075813888,2024-11-18T05:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,72.31693264627778,2024-11-18T06:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,68.71166505161112,2024-11-18T07:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,66.41885385438889,2024-11-18T08:00:00.000Z
sensor.soverom_sensor_temperature_humidity_2,65.63498933311111,2024-11-18T09:00:00.000Z
